Error 2024-04-18 16:23:21.761024 | Error -> Author added
Error 2024-04-18 16:23:24.612522 | Error -> Author added
Error 2024-04-18 16:23:27.441015 | Error -> Author added
Error 2024-04-18 16:23:34.468242 | Error -> Author added
Error 2024-04-18 16:23:41.941549 | Error -> Author added
Success 2024-04-18 16:23:44.375473 | Author added
Error 2024-04-18 16:26:40.099659 | Error -> Author added
Error 2024-04-18 16:26:54.905244 | Error -> Author added
Error 2024-04-18 16:26:58.897943 | Error -> Author added
Error 2024-04-18 16:27:02.234024 | Error -> Author added
Error 2024-04-18 16:27:09.906865 | Error -> Author added
Error 2024-04-18 16:27:12.334289 | Error -> Author added
Error 2024-04-18 16:28:31.714150 | Error -> Author added
Error 2024-04-18 16:28:35.391792 | Error -> Author added
Error 2024-04-18 16:28:40.589200 | Error -> Author added
Error 2024-04-18 16:28:43.812762 | Error -> Author added
Success 2024-04-18 16:28:49.249211 | Book added
Error 2024-04-18 16:30:37.805169 | Error -> Book on shelf added
Error 2024-04-18 16:31:00.061555 | Error -> Book on shelf added
Error 2024-04-18 16:31:09.215155 | Error -> Book on shelf added
Error 2024-04-18 16:31:12.441718 | Error -> Book on shelf added
Error 2024-04-18 16:31:17.276562 | Error -> Book on shelf added
Error 2024-04-18 16:31:52.348686 | Error -> Book on shelf added
Error 2024-04-18 16:31:55.006150 | Error -> Book on shelf added
Error 2024-04-18 16:31:59.542942 | Error -> Book on shelf added
Error 2024-04-18 16:32:02.521462 | Error -> Book on shelf added
Success 2024-04-18 16:32:04.837866 | Book on shelf added
Error 2024-04-18 16:33:11.701044 | Error -> Genre added
Error 2024-04-18 16:33:16.013796 | Error -> Genre added
Error 2024-04-18 16:33:19.035324 | Error -> Genre added
Success 2024-04-18 16:33:20.249537 | Genre added
Error 2024-04-18 16:34:16.890927 | Error -> Publisher added
Error 2024-04-18 16:34:21.360207 | Error -> Publisher added
Success 2024-04-18 16:34:30.386784 | Publisher added
Error 2024-04-18 16:38:06.996110 | Error -> User added
Error 2024-04-18 16:38:10.906792 | Error -> User added
Error 2024-04-18 16:38:17.116879 | Error -> User added
Error 2024-04-18 16:38:24.537673 | Error -> User added
Error 2024-04-18 16:38:34.091341 | Error -> User added
Error 2024-04-18 16:38:37.259895 | Error -> User added
Success 2024-04-18 16:38:44.018575 | User added
Erro 2024-04-18 16:41:02.390792 | Error -> Book copy created
Erro 2024-04-18 16:41:05.671365 | Error -> Book copy created
Success 2024-04-18 16:41:07.473181 | Book copy created
Error 2024-04-18 16:45:11.768340 | Error -> Borrowing created
Error 2024-04-18 16:45:18.355506 | Error -> Borrowing created
Error 2024-04-18 16:45:21.007454 | Error -> Borrowing created
Error 2024-04-18 16:45:22.938291 | Error -> Borrowing created
Error 2024-04-18 16:45:25.415724 | Error -> Borrowing created
Error 2024-04-18 16:45:27.571100 | Error -> Borrowing created
Success 2024-04-18 16:45:28.585777 | Borrowing created
Error 2024-04-18 16:46:55.788020 | Error -> User deleted
Success 2024-04-18 16:47:01.915084 | User deleted
Success 2024-04-18 16:47:18.891039 | User deleted
Error 2024-04-18 16:48:11.911298 | Error -> User deleted
Error 2024-04-18 16:48:17.766321 | Error -> User deleted
Success 2024-04-18 16:53:37.710192 | Borrowing record deleted
Success 2024-04-18 16:53:49.099680 | User deleted
